,0
0,坚决维护食品药品安全！尤其是给孩子的！
1,精彩人生1957：不能竟竟对企业罚款了亊，给婴儿产生的后果企业必须承担。
2,12345mqnHi：赞同
3,牛皮糖grace：对
4,食品行业 特别是婴幼儿的 乱来的话 真的是丧尽天良！！会影响很多人的一生呀 说不定从此这一生都被病魔折磨着
5,用户5247328368：支持！
6,Ursbyahhh：👍
7,用户6064463959：有道理
8,顶格处罚二百万。幸好孩子没什么大问题。不然二百万哪够弥补
9,山里来的小明：嗯、是啊
10,luonaerh：没大问题，好好看看报道，头大，还会打自己的头，已经发育成畸形了
11,用户7429273710：赞成
12,侵害人民群众的健康必须严厉打击查处。
13,严查不法商家，守卫人民健康！！！
14,虚假宣传必严惩不贷
15,企业必须良心经营，诚信经营！
16,虚假宣传必严惩不贷
17,加大对食品药品领域违法打击力度，确保人民健康安全。
18,孩子是祖国的未来，少年强则国强，儿童食品健康安全事关重大，支持对儿童食品健康安全实行最严格的执法监督。
19,不法商贩必须严惩
20,孩子是祖国的未来，儿童健康需要全社会呵护，儿童食品健康安全事关重大，支持对儿童食品健康安全实行最严格的执法监督！凡是牵扯到食品安全的，都要严肃处理，该拘留的拘留，该逮扑的逮扑，罚他个倾家荡产。
21,坚决保障食品药品安全，加大食品药品市场监督执法力度。
22,严惩不良商家，严格执法，食品安全重于泰山！！
23,食品安全，一定严查死守！
24,对食品药品领域违法行为“零”容忍，保护好祖国的花朵儿。
25,孩子是祖国的花朵，呵护孩子健康成长是我们的责任。凡是牵涉到食品安全的都要严肃处理，加强市场监管力度。
26,坚决惩治欺诈误导消费的企业，加大监管力度，同时注重宣传帮助群众提高鉴别能力。
27,共建食品安全，需要每个人的努力，杜绝虚假广告
28,食品安全关乎千家万户，关乎每个人的生命健康。作为一名市场监管人员一定要全力以赴维护食品安全。做好监督工作。打击一切危害身体健康的行为！
29,电视广告  神医神药   看看吧  出事儿电视台竟然没有责任
30,不能仅仅罚二百万这么简单，应该从重从快判极刑，罚到倾家荡产！
31,这种企业和商家难道还要容许它们存在吗？？？这是对祖国的花朵不负责任！！！
32,应该让他们破产！？！！
33,严惩不良商家，欺瞒误导消费者的行为必须受到法律制裁。
34,开展科学科普宣传，提升消费者食品安全意识，对食品药品违法行为，依法严厉予以打击。。
35,尽管通过全方位多维度检查，5名儿孩不存在“大头娃娃”的症状，但是不良商家的欺诈、误导消费已造成严重影响，顶格200万的处罚希望能阻止类似事件再出现！保护好孩子们的健康成长是全社会必须尽职的重要责任！
36,监管部门严厉予以打击，规范经营秩序。
37,严格查处欺诈消费者行为，让老百姓能用上放心的食品用品。
38,密切关注食品安全 提升食品安全意识和辩假能力
39,加大对食品安全的监管，对违返食品安全法的顶格处理，共筑儿童食品安全防火墙。
40,孩子的食品行业一定要把好质量关
41,食品安全至关重要，对任何食品安全问题都不能姑息纵容！！
42,我们个人更要提高辨别能力
43,依法严厉打击，维护食品药品质量安全！
44,希望相关部门对此类行为从严处罚，都说少年强则国强，看看这些黑心商家干的事。
45,生命至上，企业不能赚损害老百姓身体健康的黑心钱。支持依法严打！
46,加大打击力度，保护人民生命健康安全！
47,不要夸大宣传，要按实际传播，确保真实。
48,食品安全是大事！消费者也要提高自我识别能力！
49,加大打击力度，保护人民生命健康安全！
50,必须要对食品药品领域违法行为“零容忍”，严厉打击不法商家，为舌尖上的安全筑牢防护墙。
51,加强科普教育宣传，提高辨别能力！
52,加强科普宣传教育，坚决打击不法分子！
53,应该用法律进行处理。
54,对此要零容忍！
55,娃头大母之过，商家可恨，可家长就没点常识？也是可悲
56,违法所得不没收了？刑责不追究了？
57, 你好久没来看我了…… 让我安心做你的铁粉，你呢？
58,食品安全重于泰山，对于任何食品违法犯罪的行为绝不能姑息纵容。
59,从现有的报导看，作为“蛋白质固体饮料”，倍氨敏没有任何问题。。。把“饮料”当成奶粉喂孩子的，不应该由厂家负责吧。。 举个栗子吧：常有人把啤酒称作“液体面包”，可谁要是整天只喝啤酒不吃饭不吃菜，那肯定是缺心眼。。
60,罚的钱是补偿给那名受害的婴儿吗 .......
61,不采取“让参与者永世不得翻身，打入十八层地狱”，永远有下一个新情况出现，层出不穷
62,轻了点。
63,食品安全，不能已罚了之，暴利会使人妄为，够格的须上刑。
64,，
65,孩子怎么没查出问题来呢
66,孩子 怎么没查出问题来呢？
67,太轻了！太轻了！重重的罚，非法无良商家才能害怕！
68,加油
69,做人缺德的，上下九代都不得安宁！！！
70,罚款200万太少了。罚到他破产并坐牢，看还有多少坏人敢干这伤天害理的事？
71,不敢以罚代法，要坐牢！要杀头！
72,一群狗屁不懂的白痴网愤
73,顶格200万罚款，毛毛雨了。
74,商品明明在显著位置标明是“深度水解蛋白 无乳糖配方粉”，为什么又说是蛋白固体饮料，是不是在误导消费者？
75,除了罚款，还要没收个人全部财产，让造假者倾家荡产才行。
76,罚款200万元，拭目以待！
77,犯罪成本低得可怜，孩子们的健康就值200万，不杀一敬百无法平民愤
78,毒害婴儿，竟然只罚款200万？
79,严惩不贷
80,这不是说有钱就能搞定吗？
81,是不是罚的少了。
82,看清楚了，东西质量没问题！这是销售商家虚假宣传，现在有些低素质愤青家长，一看到奶粉出事马上就开喷，大唱国产奶粉再出大事这些论调，知不知道这种谣言重伤会对企业造成什么样的恶劣影响？对刚刚回复点元气的国产乳业产生什么影响？我看这群人跟那些虚假宣传的商家性质一样的恶劣！
83,太岳真人：网粪只是为了喷而喷，没有智商
84,让违法者受到严惩
85,二百万成本太低了
86,w我反对。无良医生为了提成。配合商店推荐给家长当成婴儿功能奶粉。要查也得按奶粉的成分，我估摸所有的指标都是大于等于零。这和三聚氰胺的后果并无差别。本质是断了婴幼儿的口粮
87,还在食品造假，处死
88,胡浪008：食品本身不假，是商家误导销售，你没长眼睛？
89,难道只是解职、罚款，没有人坐牢？？？
90,顶格200万处罚是不是要修改一下？
91,应该判刑并罚到在破产
92,这个处罚太轻了，哪些孩子咋办？食品药品安全这个必须出重手，罚这点钱只是毛毛雨
93,害人不浅
94,依法经营，诚信经营！
95,这两百万够那几个孩子的后续治疗费用吗？闹着玩呢？
96,消费者要提高理性辨别能力，不要被虚假宣传所误导
97,发个倾家荡产才能杜绝此犯罪行为！
98,坚决维护婴幼儿食品药品安全，严惩不法商家！
99,没用的，中国类似的处罚太轻，其实就是变相鼓励违法，犯罪成本太低了。对于惩罚违法犯罪行为建议学习美国，只要是违法犯罪就罚它个底朝天，倾家荡产，只有这样才有威慑力。
100,罚，只是小头。 要让企业和它的负责人，承担所有受害儿童今后一生的赔偿！不能全由政府财政背锅。
101,孩子们健康才是第一位的，今后希望相关部门继续加大执法查处力度，家长们也多长点心。
102,罚的好
103,罚款200万元？食品安全处罚不应该是轻飘飘的，罚就该罚的倾家荡产，看谁还敢逾越红线
104,应该罚的它倾家荡产，无力再起来。
105,依法经营，诚信经营。
106,监管部门一定坚持把人民群众的身体健康跟生命安全放在第一位，一定维护食品药品安全，对食品药品领域违法行为“零容忍”，依法严厉予以打击。
107,罚的太少！
108,凡是牵扯到食品安全的，都要严肃处理，该拘留的拘留，该逮扑的逮扑，罚他个倾家荡产。
109,一定要把人民群众身体健康和生命安全放在首位，依法严厉打击食品药品领域违法行为，维护食品药品安全。
